N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
84,에이엔피,672.0,하락  80,-10.64%,2524717.0,1709.0,670.0,672.0,317.0,,-35.66
85,ACE 미국30년국채액티브(H),7510.0,하락  30,-0.40%,2524424.0,18990.0,7505.0,7510.0,17626.0,,
86,RISE 200,81945.0,하락  295,-0.36%,2509276.0,201247.0,81905.0,81945.0,30361.0,,
87,주성코퍼레이션,1319.0,상승  24,+1.85%,2495416.0,3393.0,1319.0,1321.0,697.0,33.82,7.31
88,KODEX AI반도체,26230.0,하락  90,-0.34%,2479180.0,63693.0,26215.0,26230.0,20302.0,,
89,KODEX 증권,26745.0,상승  730,+2.81%,2463961.0,64017.0,26740.0,26745.0,10390.0,,
90,TIGER 2차전지TOP10,10350.0,상승  185,+1.82%,2445012.0,24724.0,10350.0,10355.0,5729.0,,
91,팬오션,4900.0,하락  80,-1.61%,2395353.0,11597.0,4900.0,4905.0,26194.0,8.69,5.3
92,삼화페인트,9800.0,하락  370,-3.64%,2391572.0,23747.0,9800.0,9820.0,2666.0,34.75,2.3
93,SOL AI반도체소부장,25340.0,하락  285,-1.11%,2353413.0,58401.0,25330.0,25340.0,10377.0,,
94,한국전자홀딩스,1020.0,상승  40,+4.08%,2339451.0,2354.0,1019.0,1020.0,477.0,26.84,3.5
95,TIGER 코스닥150,20265.0,상승  185,+0.92%,2320741.0,46221.0,20250.0,20265.0,22559.0,,
96,무림페이퍼,2090.0,하락  50,-2.34%,2299170.0,5042.0,2090.0,2095.0,870.0,-5.66,-3.48
97,삼양패키징,13600.0,"하락  1,680",-10.99%,2276736.0,35038.0,13590.0,13600.0,2049.0,11.84,4.61
98,대한항공,25300.0,상승  350,+1.40%,2218835.0,55622.0,25250.0,25300.0,93160.0,11.98,7.28
99,케이뱅크,6270.0,하락  100,-1.57%,2190810.0,13621.0,6260.0,6270.0,25437.0,21.62,6.63
100,대한전선,28250.0,하락  750,-2.59%,2189610.0,60777.0,28200.0,28250.0,52671.0,62.5,5.48
