symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars
KRW-AAVE,0.02,0.008,20,1.2,65,1140,28.3,-184.9,-85.94,0.706,18.5
KRW-AAVE,0.01,0.005,20,1.2,65,1223,32.4,-168.61,-83.13,0.705,10.3
KRW-AAVE,0.01,0.005,50,1.5,70,1718,32.7,-263.21,-93.36,0.704,12.1
KRW-AAVE,0.01,0.01,10,1.2,70,2085,35.0,-269.15,-93.86,0.704,9.9
KRW-AAVE,0.015,0.005,30,2.0,70,1300,26.7,-200.58,-87.85,0.703,13.8
KRW-AAVE,0.015,0.008,10,2.0,70,1336,30.4,-180.1,-85.23,0.703,10.8
KRW-AAVE,0.005,0.005,30,2.0,70,1369,45.6,-166.4,-82.11,0.703,7.3
KRW-AAVE,0.005,0.005,30,1.2,65,1241,45.0,-152.22,-80.04,0.702,7.8
KRW-AAVE,0.02,0.005,30,2.0,70,1273,23.3,-202.91,-88.4,0.702,16.7
KRW-AAVE,0.015,0.008,20,1.2,70,1898,31.0,-310.91,-96.21,0.701,15.7
KRW-AAVE,0.015,0.008,20,1.5,70,1653,30.9,-271.14,-94.24,0.7,15.6
KRW-AAVE,0.015,0.008,20,1.5,65,981,31.5,-156.64,-80.72,0.7,15.9
KRW-AAVE,0.01,0.008,20,1.5,70,1699,36.6,-267.29,-93.68,0.699,13.0
KRW-AAVE,0.01,0.008,10,2.0,70,1357,34.9,-179.51,-84.62,0.699,9.2
KRW-AAVE,0.01,0.008,10,1.2,65,1241,34.9,-159.45,-81.49,0.699,9.4
KRW-AAVE,0.01,0.015,10,1.5,65,1035,35.8,-136.38,-76.75,0.698,10.5
KRW-AAVE,0.005,0.008,10,1.5,65,1046,45.4,-122.04,-72.77,0.698,7.3
KRW-AAVE,0.005,0.005,50,1.5,65,1024,45.8,-129.2,-74.66,0.698,8.2
KRW-AAVE,0.01,0.005,30,1.5,65,1014,32.5,-150.36,-79.64,0.696,11.4
KRW-AAVE,0.005,0.005,20,1.2,65,1249,44.3,-153.08,-80.05,0.696,7.2
KRW-AAVE,0.01,0.005,20,2.0,70,1337,32.3,-193.13,-86.36,0.695,9.8
KRW-AAVE,0.02,0.015,10,1.2,65,1211,28.7,-168.27,-83.38,0.695,13.9
KRW-AAVE,0.015,0.005,20,2.0,70,1313,27.0,-198.27,-87.55,0.694,12.1
KRW-AAVE,0.015,0.01,10,1.2,65,1226,31.5,-165.7,-82.88,0.694,11.5
KRW-AAVE,0.015,0.005,50,1.5,70,1665,25.9,-286.01,-95.13,0.693,15.4
KRW-AAVE,0.02,0.005,20,2.0,70,1288,24.1,-199.58,-87.99,0.693,14.6
KRW-AAVE,0.02,0.008,10,2.0,70,1318,27.4,-186.85,-86.64,0.693,12.8
KRW-AAVE,0.01,0.005,30,1.2,70,2030,32.3,-310.3,-96.07,0.693,11.1
KRW-AAVE,0.005,0.005,20,2.0,70,1376,44.8,-170.23,-82.76,0.693,6.9
KRW-AAVE,0.01,0.01,10,1.5,65,1038,35.1,-138.22,-76.94,0.692,10.0
KRW-AAVE,0.015,0.015,10,1.2,70,2024,30.6,-284.83,-95.17,0.692,12.2
KRW-AAVE,0.015,0.008,10,1.2,65,1228,30.9,-167.42,-83.11,0.691,10.9
KRW-AAVE,0.005,0.005,50,1.5,70,1816,45.9,-236.56,-91.37,0.69,7.6
KRW-AAVE,0.005,0.005,10,1.2,65,1267,42.0,-145.95,-78.6,0.689,5.9
KRW-AAVE,0.02,0.005,50,1.2,70,1837,21.7,-333.65,-97.07,0.689,19.0
KRW-AAVE,0.015,0.005,50,1.2,70,1907,26.0,-332.3,-97.02,0.689,15.6
KRW-AAVE,0.01,0.005,20,1.5,65,1020,32.1,-149.07,-79.14,0.688,10.3
KRW-AAVE,0.005,0.005,50,1.2,70,2116,45.8,-277.98,-94.34,0.688,7.5
KRW-AAVE,0.02,0.015,10,1.2,70,1986,27.5,-290.69,-95.5,0.687,14.1
KRW-AAVE,0.02,0.015,10,1.5,65,1016,28.6,-147.08,-79.41,0.686,14.2
KRW-AAVE,0.01,0.008,10,1.2,70,2090,34.1,-288.43,-94.95,0.686,9.3
KRW-AAVE,0.01,0.01,10,1.5,70,1796,34.7,-247.49,-92.33,0.686,9.8
KRW-AAVE,0.01,0.015,10,1.5,70,1789,35.3,-252.51,-92.76,0.685,10.5
KRW-AAVE,0.005,0.005,20,1.5,70,1840,44.6,-234.85,-91.21,0.685,6.9
KRW-AAVE,0.005,0.005,30,1.5,65,1032,44.7,-134.09,-75.86,0.685,7.8
KRW-AAVE,0.005,0.005,20,1.2,70,2144,44.5,-274.39,-94.12,0.685,6.9
KRW-AAVE,0.005,0.005,30,1.5,70,1828,45.1,-240.12,-91.67,0.684,7.3
KRW-AAVE,0.015,0.005,10,2.0,70,1357,27.6,-185.43,-86.06,0.684,9.1
KRW-AAVE,0.01,0.005,10,1.2,65,1256,32.1,-161.47,-81.79,0.684,7.9
KRW-AAVE,0.015,0.015,10,1.5,65,1027,31.5,-146.54,-79.3,0.684,12.1
KRW-AAVE,0.015,0.015,10,1.5,70,1760,30.6,-259.88,-93.77,0.683,12.1
KRW-AAVE,0.015,0.005,50,1.2,65,1170,25.6,-207.0,-88.87,0.683,16.1
KRW-AAVE,0.01,0.008,10,1.5,65,1038,34.3,-141.58,-77.62,0.683,9.4
KRW-AAVE,0.005,0.005,30,1.2,70,2130,45.1,-281.89,-94.55,0.683,7.3
KRW-AAVE,0.015,0.005,20,1.2,65,1203,26.8,-188.01,-86.2,0.683,12.5
KRW-AAVE,0.02,0.01,10,1.5,65,1019,28.2,-147.77,-79.63,0.682,13.5
KRW-AAVE,0.02,0.005,50,1.5,70,1607,21.3,-298.89,-95.77,0.682,19.1
KRW-AAVE,0.015,0.01,10,1.2,70,2037,30.1,-294.5,-95.56,0.682,11.5
KRW-AAVE,0.015,0.01,10,1.5,70,1766,30.1,-257.66,-93.54,0.681,11.5
KRW-AAVE,0.005,0.005,20,1.5,65,1039,44.2,-133.86,-75.66,0.68,7.3
KRW-AAVE,0.02,0.015,10,1.5,70,1727,27.6,-263.4,-94.05,0.679,14.2
KRW-AAVE,0.015,0.005,30,1.2,65,1190,26.3,-198.57,-87.58,0.679,14.1
KRW-AAVE,0.01,0.005,20,1.2,70,2059,31.6,-315.72,-96.17,0.679,10.0
KRW-AAVE,0.02,0.01,10,1.2,65,1214,28.3,-176.78,-84.77,0.679,13.3
KRW-AAVE,0.005,0.005,10,2.0,70,1395,42.2,-169.4,-82.56,0.678,5.7
KRW-AAVE,0.01,0.005,30,1.5,70,1751,31.9,-282.23,-94.61,0.677,11.1
KRW-AAVE,0.02,0.01,10,1.5,70,1733,27.2,-262.23,-93.84,0.676,13.5
KRW-AAVE,0.02,0.01,10,1.2,70,1999,27.2,-301.44,-95.87,0.676,13.4
KRW-AAVE,0.015,0.005,30,1.2,70,1956,26.2,-336.2,-97.07,0.675,13.9
KRW-AAVE,0.01,0.005,10,2.0,70,1376,31.8,-187.88,-86.02,0.675,7.6
KRW-AAVE,0.01,0.008,10,1.5,70,1799,33.9,-257.32,-93.06,0.675,9.3
KRW-AAVE,0.015,0.005,10,1.2,65,1244,28.2,-170.16,-83.49,0.675,9.3
KRW-AAVE,0.015,0.01,10,1.5,65,1030,30.9,-149.78,-79.73,0.675,11.5
KRW-AAVE,0.005,0.005,10,1.2,70,2193,42.2,-269.05,-93.83,0.675,5.8
KRW-AAVE,0.02,0.008,10,1.5,65,1019,27.5,-149.78,-80.01,0.674,12.9
KRW-AAVE,0.02,0.008,10,1.2,65,1216,27.7,-178.61,-84.98,0.674,12.7
KRW-AAVE,0.015,0.008,10,1.2,70,2044,29.5,-305.39,-96.02,0.671,10.9
KRW-AAVE,0.015,0.008,10,1.5,70,1769,29.3,-265.67,-94.04,0.671,10.9
KRW-AAVE,0.01,0.005,10,1.5,65,1048,31.6,-141.15,-77.62,0.671,7.9
KRW-AAVE,0.02,0.005,50,1.2,65,1145,21.0,-220.34,-90.38,0.671,19.2
KRW-AAVE,0.005,0.005,10,1.5,70,1879,42.2,-234.79,-91.27,0.671,5.7
KRW-AAVE,0.015,0.005,30,1.5,70,1708,26.1,-297.51,-95.56,0.67,13.8
KRW-AAVE,0.015,0.008,10,1.5,65,1030,30.2,-150.79,-79.96,0.67,10.9
KRW-AAVE,0.005,0.005,10,1.5,65,1055,41.7,-130.21,-74.81,0.668,6.0
KRW-AAVE,0.02,0.005,10,2.0,70,1340,24.6,-196.13,-87.91,0.668,10.9
KRW-AAVE,0.02,0.008,10,1.2,70,2006,26.5,-310.84,-96.24,0.667,12.8
KRW-AAVE,0.015,0.005,50,1.5,65,985,25.3,-183.74,-85.52,0.667,16.1
KRW-AAVE,0.02,0.005,30,1.2,70,1898,22.5,-346.66,-97.3,0.666,16.6
KRW-AAVE,0.02,0.005,50,1.5,65,966,21.0,-188.7,-86.47,0.666,19.3
KRW-AAVE,0.02,0.008,10,1.5,70,1736,26.4,-272.0,-94.4,0.664,12.9
KRW-AAVE,0.015,0.005,20,1.5,65,1010,26.5,-167.52,-82.8,0.664,12.5
KRW-AAVE,0.01,0.005,20,1.5,70,1771,31.2,-286.98,-94.77,0.662,9.9
KRW-AAVE,0.015,0.005,20,1.5,70,1732,26.0,-294.62,-95.42,0.661,12.1
KRW-AAVE,0.015,0.005,20,1.2,70,1994,26.1,-340.13,-97.17,0.66,12.2
KRW-AAVE,0.02,0.005,20,1.2,70,1938,23.1,-342.92,-97.19,0.657,14.6
KRW-AAVE,0.01,0.005,10,1.2,70,2139,31.0,-308.96,-95.85,0.657,7.8
KRW-AAVE,0.015,0.005,30,1.5,65,1002,26.0,-179.25,-84.55,0.657,14.0
KRW-AAVE,0.015,0.005,10,1.5,65,1041,27.6,-152.15,-80.31,0.655,9.3
KRW-AAVE,0.02,0.005,10,1.2,65,1232,25.1,-184.4,-85.77,0.653,11.0
KRW-AAVE,0.02,0.005,20,1.5,70,1688,22.9,-303.06,-95.76,0.652,14.7
KRW-AAVE,0.02,0.005,30,1.5,70,1660,22.2,-315.38,-96.26,0.652,16.6
KRW-AAVE,0.01,0.005,10,1.5,70,1838,30.8,-273.22,-94.08,0.649,7.7
KRW-AAVE,0.02,0.005,20,1.2,65,1183,23.2,-211.21,-89.03,0.649,14.8
KRW-AAVE,0.015,0.005,10,1.5,70,1810,26.5,-279.06,-94.76,0.648,9.2
KRW-AAVE,0.02,0.005,30,1.2,65,1170,22.5,-222.9,-90.27,0.647,16.6
KRW-AAVE,0.02,0.005,10,1.5,65,1030,24.8,-157.42,-81.47,0.645,11.2
KRW-AAVE,0.02,0.005,20,1.5,65,996,23.2,-179.19,-84.83,0.645,14.9
KRW-AAVE,0.015,0.005,10,1.2,70,2096,26.6,-325.88,-96.73,0.644,9.2
KRW-AAVE,0.02,0.005,30,1.5,65,987,22.6,-193.38,-86.83,0.636,16.6
KRW-AAVE,0.02,0.005,10,1.2,70,2060,23.6,-336.15,-97.03,0.635,11.0
KRW-AAVE,0.02,0.005,10,1.5,70,1779,23.4,-295.25,-95.51,0.629,11.1
